Group ID,Segment ID,Text,Length,Group Tagging,Relative Loc Tgging,Expected Beginning,Expected Middle,Expected End,"Expected Standalone
",Beginning Score,Beginning Correct,End Score,End Correct
0,43,"Owners do respond, but if they're not currently signed up with us, we have to track them down first. Some, unfortunately, choose not to respond. We're releasing",160,0,1,1,0,0,0,7.277777777777778,1,2.0,1
0,44,"an update very soon, which will show you the status of each of your messages.",77,0,2,0,0,1,0,2.2619692863595304,1,12.312931923179718,1
1,65,"Your messages are still being delivered. Later this month, we're releasing an update to the app that will allow you to see the status of each message. You'll",157,0,1,1,0,0,0,7.836320191158901,1,0.0,1
1,66,know exactly when each message reaches an owner! Thanks for all the feedback you've,83,0,2,0,1,0,0,2.0,1,0.0,1
1,67,submitted!,10,0,3,0,0,1,0,2.0,1,15.600180668473351,1
2,136,Test reply,10,0,0,1,0,1,1,18.354916067146284,1,5.830721003134796,1
2,137,Test rep,8,1,0,1,0,1,1,18.354916067146284,1,3.3684210526315788,1
3,140,test Reply from prod,20,0,0,1,0,1,1,18.354916067146284,1,2,0
3,141,Test push,9,1,0,1,0,1,1,18.354916067146284,1,5.5,1
4,164,"Hi Jaime, the card that was delivered directly to your place needs an activation code: 4787. Another card will be coming from our office this week, and won't",157,0,1,1,0,0,0,188.8708609271523,1,2.082951146560319,1
4,165,require a code.,15,0,2,0,0,1,0,2.0,1,12.312931923179718,1
5,175,"We're waiting for the card to come in, the first was lost in the mail and we had to reorder it.",95,0,0,1,0,1,1,9.753115264797508,1,12.312931923179718,1
5,176,"I found your previous messages. And....congrats! You won the sweepstakes! So, another card will be on its way!",110,1,0,1,0,1,1,7.29295652592557,1,15.600180668473351,1
5,177,They two cards will arrive separately.,38,2,0,1,0,1,1,8.340834505391467,1,12.312931923179718,1
6,258,"Find a business near you using the ""nearby"" tab, then click on a business that you want to send feedback to. Write the message and press send - we'll deliver",157,0,1,1,0,0,0,7.206185567010309,1,2.5306122448979593,0
6,259,drawing.,8,0,3,0,0,1,0,2.0,1,12.312931923179718,1
6,260,"it to the owner! Each message you send (up to 5 per day), gets you an entry to our weekly $500",94,0,2,0,1,0,0,3.3970588235294117,1,2.0,1
7,375,"Ummm, I don't know!",19,0,0,1,0,1,1,16.0,1,15.600180668473351,1
7,376,"Hahaha, good one...especially since we're all about listening here at OL! :) welcome!",85,1,0,1,0,1,1,14.375,1,15.600180668473351,1
8,383,"For businesses signed up already, they receive your message immediately and can respond. For those not signed up, we identify the correct contact and deliver",157,0,1,1,0,0,0,7.225862244378879,1,2.5306122448979593,0
8,384,"your feedback. There are, of course, some owners who don't respond to customer feedback, but many do reply.",107,0,2,0,0,1,0,2.836320191158901,1,12.312931923179718,1
9,388,"Absolutely! We have thousands of businesses in our network, which is growing everyday. For businesses that haven't signed up with us, we track them down and",156,0,1,1,0,0,0,17.32258064516129,1,-0.46745706140045895,1
9,389,deliver your feedback. We are releasing an update for iOS very soon that will show the status of each of your messages.,119,0,2,0,0,1,0,2.0,1,12.312931923179718,1
10,479,"The 'Places' tab displays locations near you. Or, you can search for places anywhere else. Select a place, and leave them feedback. We'll find the owner (or",156,0,1,1,0,0,0,7.825841603424791,1,2.050801094177413,1
10,480,"best other contact) to deliver your message. Responses are sent directly to your phone. The feedback is private, and you remain anonymous. Welcome to OL!",153,0,2,0,0,1,0,3.802816901408451,1,15.600180668473351,1
11,657,Got it,6,0,0,1,0,1,1,9.83757338551859,1,2.710781207567665,1
11,658,I think this is working now,27,1,0,1,0,1,1,7.29295652592557,1,4.478775226165623,1
12,671,HQ],3,0,2,0,0,1,0,0.24390243902439024,1,7.375886524822696,1
12,672,"That's great. We actually just caught the TV story ourselves! Please let me
know personally if there's anything I can help you with as you use the app [David at",160,0,1,1,0,0,0,8.399215686274509,1,2.1003861003861,1
13,674,"The message is anonymous unless you provide your info in the message. Unfortunately, we cannot guarantee a response from a business but can tell you we will do",159,0,1,1,0,0,0,7.825841603424791,1,2.2348955392433654,1
13,675,our best to deliver the message to the proper person in the business as quickly as possible. Good luck! I hope it works out.,124,0,2,0,0,1,0,2.5889145496535795,1,12.312931923179718,1
14,703,Have a wonderful night,22,0,0,1,0,1,1,9.956086286594761,1,3.8525798525798525,1
14,704,I'm glad it was resolved,24,1,0,1,0,1,1,7.29295652592557,1,6.333333333333333,1
